_hyponym	NN_1
_hyponym	NN_2
_derivationally_related_form	VB_1
_derivationally_related_form	NN_2
_derivationally_related_form	NN_1
_derivationally_related_form	VB_1
_hyponym	NN_5
_hyponym	NN_1
_hypernym	NN_1
_hypernym	NN_2
_hyponym	NN_2
_hyponym	NN_1
_hypernym	NN_1
_hypernym	NN_1
_derivationally_related_form	NN_9
_derivationally_related_form	VB_2
_hypernym	NN_11
_hypernym	NN_2
_hyponym	NN_2
_hyponym	NN_1
_hyponym	NN_2
_hyponym	NN_1
_derivationally_related_form	VB_4
_derivationally_related_form	NN_4
_hyponym	NN_1
_hyponym	NN_1
_member_of_domain_topic	NN_1
_member_of_domain_topic	JJ_1
_derivationally_related_form	NN_5
_derivationally_related_form	VB_2
_derivationally_related_form	NN_2
_derivationally_related_form	VB_5
_hyponym	VB_6
_hyponym	VB_14
_hyponym	NN_1
_hyponym	NN_2
_hypernym	VB_2
_hypernym	VB_2
_derivationally_related_form	NN_1
_derivationally_related_form	VB_4
_derivationally_related_form	NN_2
_derivationally_related_form	VB_2
_hyponym	NN_1
_hyponym	NN_1
_member_meronym	NN_1
_member_meronym	NN_1
_derivationally_related_form	NN_5
_derivationally_related_form	VB_1
_hypernym	NN_4
_hypernym	NN_4
_hyponym	VB_1
_hyponym	VB_2
_derivationally_related_form	JJ_1
_derivationally_related_form	NN_1
_hyponym	VB_2
_hyponym	VB_1
_hyponym	NN_1
_hyponym	NN_2
_hyponym	VB_3
_hyponym	VB_3
_hypernym	VB_1
_hypernym	VB_1
_derivationally_related_form	NN_1
_derivationally_related_form	VB_1
_hyponym	NN_2
_hyponym	NN_1
_hyponym	NN_2
_hyponym	NN_1
_hypernym	VB_1
_hypernym	VB_1
_derivationally_related_form	NN_7
_derivationally_related_form	VB_2
_hyponym	VB_2
_hyponym	VB_1
_hyponym	NN_1
_hyponym	NN_1
_member_of_domain_usage	NN_1
_member_of_domain_usage	NN_1
_derivationally_related_form	NN_1
_derivationally_related_form	VB_3
_derivationally_related_form	VB_3
_derivationally_related_form	NN_1
_derivationally_related_form	VB_1
_derivationally_related_form	NN_1
_hypernym	NN_1
_hypernym	NN_1
_hyponym	VB_1
_hyponym	VB_2
_synset_domain_topic_of	NN_1
_synset_domain_topic_of	NN_1
_hyponym	NN_3
_hyponym	NN_1
_hypernym	NN_2
_hypernym	NN_1
_hyponym	NN_2
_hyponym	NN_4
_has_part	NN_1
_has_part	NN_3
_derivationally_related_form	NN_1
_derivationally_related_form	VB_5
_derivationally_related_form	VB_2
_derivationally_related_form	NN_1
_derivationally_related_form	NN_1
_derivationally_related_form	NN_1
_hypernym	NN_2
_hypernym	NN_1
_hypernym	NN_1
_hypernym	NN_5
_hypernym	NN_1
_hypernym	NN_2
_hypernym	NN_1
_hypernym	NN_1
_derivationally_related_form	NN_1
_derivationally_related_form	VB_3
_derivationally_related_form	NN_1
_derivationally_related_form	VB_7
_hyponym	NN_1
_hyponym	NN_1
_derivationally_related_form	NN_1
_derivationally_related_form	VB_2
_hyponym	VB_2
_hyponym	VB_1
_hypernym	NN_4
_hypernym	NN_1
_derivationally_related_form	NN_1
_derivationally_related_form	VB_1
_hypernym	NN_1
_hypernym	NN_1
_derivationally_related_form	NN_2
_derivationally_related_form	VB_3
_hypernym	NN_14
_hypernym	NN_1
_hyponym	NN_1
_hyponym	NN_1
_hyponym	VB_1
_hyponym	VB_1
_hypernym	NN_1
_hypernym	NN_1
_hypernym	NN_3
_hypernym	NN_1
_also_see	JJ_1
_also_see	JJ_1
_derivationally_related_form	VB_1
_derivationally_related_form	NN_2
_hypernym	VB_1
_hypernym	VB_2
_derivationally_related_form	NN_3
_derivationally_related_form	VB_5
_hyponym	NN_1
_hyponym	NN_2
_hyponym	NN_1
_hyponym	NN_1
_hyponym	NN_2
_hyponym	NN_6
_hypernym	NN_2
_hypernym	NN_5
_also_see	JJ_2
_also_see	JJ_1
_hypernym	NN_2
_hypernym	NN_1
_part_of	NN_1
_part_of	NN_1
_synset_domain_topic_of	NN_1
_synset_domain_topic_of	NN_1
_derivationally_related_form	VB_3
_derivationally_related_form	NN_4
_hyponym	VB_12
_hyponym	VB_11
_hyponym	VB_1
_hyponym	VB_5
_hyponym	VB_2
_hyponym	VB_2
_derivationally_related_form	VB_1
_derivationally_related_form	NN_2
_derivationally_related_form	NN_2
_derivationally_related_form	VB_1
_member_meronym	NN_1
_member_meronym	NN_1
_derivationally_related_form	NN_3
_derivationally_related_form	VB_1
_hypernym	NN_1
_hypernym	NN_1
_hypernym	NN_16
_hypernym	NN_2
_synset_domain_topic_of	NN_3
_synset_domain_topic_of	NN_1
_hyponym	VB_1
_hyponym	VB_1
_hypernym	VB_18
_hypernym	VB_3
_synset_domain_topic_of	NN_3
_synset_domain_topic_of	NN_2
_derivationally_related_form	VB_2
_derivationally_related_form	JJ_1
_hypernym	VB_1
_hypernym	VB_1
_hypernym	NN_2
_hypernym	NN_8
_hypernym	NN_4
_hypernym	NN_1
_derivationally_related_form	NN_2
_derivationally_related_form	VB_4
_hyponym	NN_1
_hyponym	NN_4
_hyponym	NN_2
_hyponym	NN_3
_hypernym	NN_1
_hypernym	NN_1
_hypernym	VB_1
_hypernym	VB_1
_derivationally_related_form	VB_7
_derivationally_related_form	NN_1
_hyponym	VB_1
_hyponym	VB_3
_hypernym	NN_4
_hypernym	NN_3
_hyponym	VB_2
_hyponym	VB_2
_derivationally_related_form	NN_1
_derivationally_related_form	NN_1
_derivationally_related_form	JJ_7
_derivationally_related_form	NN_1
_hyponym	NN_1
_hyponym	NN_1
